,index,cause,effect,conceptual_explanation,t1,t2,t3,t1_filtered,t2_filtered,t3_filtered
0,dev-0,The woman gave birth to a child.,The child brought psycho-physical phenomena on a new life.,Birth is the arising of the psycho-physical phenomena.,what child brought psycho - physical phenomena?,the child brought psycho - physical phenomena to a woman?,what brought psycho - physical phenomena on a new life?,what child brought psycho - physical phenomena?,the child brought psycho - physical phenomena to a woman?,what brought psycho - physical phenomena on a new life?
1,dev-1,Otters enter their new habitat.,Otters start looking for abalone for food.,Abalone are one of the first food items taken by otters as they move into new habitat.,what do otters start looking for?,what do the otters start looking for abalone?,why do otters start looking for abalone?,what do otters start looking for?,what do the otters start looking for abalone?,why do otters start looking for abalone?
2,dev-2,Lila loves classification of her things.,Lila can find what she wants quickly.,Classifications yield accuracy.,why does Lila loves classification of her things cause Lila can find what she wants quickly?,why does lila love classification of her things?,why does lila love classification?,why does Lila loves classification of her things cause Lila can find what she wants quickly?,why does lila love classification of her things?,why does lila love classification?
3,dev-3,She has been vaccined.,The chance she gets flu becomes smaller.,Vaccines protect individuals.,what is the chance of her getting flu now?,what makes the chance of her getting flu smaller?,what happens to the chance of her getting flu because she has been vaccined?,what is the chance of her getting flu now?,what makes the chance of her getting flu smaller?,what happens to the chance of her getting flu because she has been vaccined?
4,dev-4,The worker fremented some sugar cane with yeast.,He got some rum.,Rum is made from sugar cane using yeast fermentation.,what rum did the worker get?,what is the effect of the worker frementing sugar cane with yeast?,why did the worker get rum?,what rum did the worker get?,what is the effect of the worker frementing sugar cane with yeast?,why did the worker get rum?
5,dev-5,Grande opened the drawers.,He saw his old clothing.,Drawers have clothing.,who saw his old clothing?,what was the cause of grande opening the drawers?,why did he see his old clothing?,who saw his old clothing?,what was the cause of grande opening the drawers?,why did he see his old clothing?
6,dev-6,He wants to travel the Sahara desert.,He will not withstand the dry climate there.,Deserts are arid environments.,why does he want to travel the sahara desert?,why does he want to travel the sahara desert?,what is the name of the sahara desert?,why does he want to travel the sahara desert?,why does he want to travel the sahara desert?,what is the name of the sahara desert?
7,dev-7,Black pulled out his eyelashes for beauty.,Black's sweat always drips into his eyes.,Eyelashes keep sweat out of the eye.,what did black do for beauty?,why did black pull out his eyelashes?,does black's sweat drip into his eyes?,what did black do for beauty?,why did black pull out his eyelashes?,does black's sweat drip into his eyes?
8,dev-8,There are many obstacles on the track.,Racing drivers will encounter common dangers from time to time.,Obstacles present common danger.,how many obstacles are on the track?,what is the cause of many obstacles on the track?,do racing drivers encounter common dangers?,how many obstacles are on the track?,what is the cause of many obstacles on the track?,do racing drivers encounter common dangers?
9,dev-9,The bar wants to devise some tests.,The bar asks a businessman for help.,Businessmen devise tests.,what kind of tests does the bar want to run?,what is the cause of the bar asking a businessman for help?,why does a bar ask a businessman for help?,what kind of tests does the bar want to run?,what is the cause of the bar asking a businessman for help?,why does a bar ask a businessman for help?
10,dev-10,Lily has taken some sulfonamedes to make hemolysis.,The medicine didn't work.,Sulfonamides cause hemolysis less commonly.,what has lily taken sulfonamedes to make?,what caused the medicine to fail?,why didn't the medicine work?,what has lily taken sulfonamedes to make?,what caused the medicine to fail?,why didn't the medicine work?
11,dev-11,No energy is available for the dying plant anymore.,It cannot produce oxygen.,Production requires energy.,what kind of energy is no longer available for the dying plant?,why can't a dying plant produce oxygen?,why can't the plant produce oxygen anymore?,what kind of energy is no longer available for the dying plant?,why can't a dying plant produce oxygen?,why can't the plant produce oxygen anymore?
12,dev-12,Tom has good eyesight.,Tom found the poisonous snake in time.,Eyesights play roles.,tom has good eyesight such that he found the poisonous snake in time?,what is the cause of tom finding the poisonous snake?,how was tom able to find the poisonous snake?,tom has good eyesight such that he found the poisonous snake in time?,what is the cause of tom finding the poisonous snake?,how was tom able to find the poisonous snake?
13,dev-13,Tom wants to know more about production.,Tom set out to go to the dense regions.,Production occurs in dense regions.,who wanted tom to go to the dense regions?,who does tom want to know more about?,where did tom set out to go?,who wanted tom to go to the dense regions?,who does tom want to know more about?,where did tom set out to go?
14,dev-14,The zoologist made an observation of the jaguar's habits.,He observed tracks on the ground where the jaguar had moved its all tour legs.,Jaguars use all tour legs to move across the ground.,what did the zoologist observe?,what was the cause of the zoologist observing the jaguar's habits?,how did the jaguar move its all tour legs?,what did the zoologist observe?,what was the cause of the zoologist observing the jaguar's habits?,how did the jaguar move its all tour legs?
15,dev-15,Lucy has established a community to help those homeless children.,Many of her friends join in the warm-hearted family.,Friends join communities.,lucy has established a community to help homeless children?,what is lucy's cause?,what is the warm - hearted family?,lucy has established a community to help homeless children?,what is lucy's cause?,what is the warm - hearted family?
16,dev-16,The abuse of nuclear power is terrifying.,Scientists avoid great impact of atoms.,Collisions result in nuclear reaction.,what is terrifying about the abuse of nuclear power?,what is the cause of the abuse of nuclear power?,why do scientists avoid abuse of nuclear power?,what is terrifying about the abuse of nuclear power?,what is the cause of the abuse of nuclear power?,why do scientists avoid abuse of nuclear power?
17,dev-17,Mr. Howard was going to hiking who had a big bag on his back.,"As he walked, he felt much heavier than before.",Matter produces gravity.,did mr howard have a big bag on his back?,why did mr howard have a big bag on his back?,did mr howard's trip make him feel heavier than before?,did mr howard have a big bag on his back?,why did mr howard have a big bag on his back?,did mr howard's trip make him feel heavier than before?
18,dev-18,He observed the process from germination of seeds to eventually maturation of plants.,He obserevd the growth of the embryo inside the seed at first.,Germination is the growth of the embryo inside the seed eventually growing into a mature plant.,what process did he observe?,what was the cause of the process from germination to maturation?,did he observe the growth of the embryo inside the seed?,what process did he observe?,what was the cause of the process from germination to maturation?,did he observe the growth of the embryo inside the seed?
